,id,random ID,ResponseType,TrialNumber,Response,Group,Condition,Run,Hashtag,Most Similar Segment,Segment Index,Similarity Score,Size
11,11,17961,hashtag,1,nuclearmeltdown,1.0,Experimental,1en,nuclearmeltdown,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3059823513031006,20
12,12,89815,hashtag,1,disaster,2.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
13,13,25585,hashtag,1,japantragedy,3.0,Experimental,1en,japantragedy,The damage caused Japanese authorities quickly implemented a 100-foot exclusion zone.,3,0.37460047006607056,20
14,14,71718,hashtag,1,nucleardisaster,4.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
15,15,22983,hashtag,1,nuclearpowerplant,5.0,Experimental,1en,nuclearpowerplant,Resulting energy shortage,5,0.3283272385597229,20
16,16,56432,hashtag,1,nucleardisaster,1.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
17,17,32422,hashtag,1,atomicbomb,6.0,Experimental,1en,atomicbomb,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.2411976307630539,20
18,18,15306,hashtag,1,disaster,6.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
19,19,22595,hashtag,1,nucleardisaster,7.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
20,0,17013,hashtag,2,powerplant,1.0,Experimental,1en,powerplant,Resulting energy shortage,5,0.47490641474723816,20
21,1,97413,hashtag,2,japaneseearthquake,10.0,Experimental,1en,japaneseearthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.4086584150791168,20
22,2,56281,hashtag,2,tsunami,10.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
23,3,83720,hashtag,2,radiation,6.0,Experimental,1en,radiation,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.41247648000717163,20
24,4,91363,hashtag,2,earthquake,1.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
25,5,33839,hashtag,2,majorearthquake,2.0,Experimental,1en,majorearthquake,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.2621239125728607,20
26,6,78472,hashtag,2,reducepowerconsumptioinjapan,3.0,Experimental,1en,reducepowerconsumptioinjapan,Resulting energy shortage,5,0.3445611298084259,20
27,7,46039,hashtag,2,earthquake,4.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
28,8,48321,hashtag,2,disaster,5.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
29,9,82824,hashtag,2,savejapan,6.0,Experimental,1en,savejapan,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.22199711203575134,20
30,10,90921,hashtag,2,radiation,7.0,Experimental,1en,radiation,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.41247648000717163,20
31,11,17961,hashtag,2,nucleardisaster,4.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
32,12,89815,hashtag,2,disaster,8.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
33,13,25585,hashtag,2,earthquakedisaster,2.0,Experimental,1en,earthquakedisaster,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.40071022510528564,20
34,14,71718,hashtag,2,nuclear_disaster,8.0,Experimental,1en,nuclear_disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.561650276184082,20
35,15,22983,hashtag,2,nucleardisaster,9.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
36,17,32422,hashtag,2,catastrophre,5.0,Experimental,1en,catastrophre,Resulting energy shortage,5,0.13269397616386414,20
37,18,15306,hashtag,2,nucleardisaster,9.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
38,19,22595,hashtag,2,earthquake,7.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
39,0,17013,hashtag,3,japan,8.0,Experimental,1en,japan,The damage caused Japanese authorities quickly implemented a 100-foot exclusion zone.,3,0.3506992757320404,20
40,1,97413,hashtag,3,japanesetsunami,7.0,Experimental,1en,japanesetsunami,The damage caused Japanese authorities quickly implemented a 100-foot exclusion zone.,3,0.3607460856437683,20
41,2,56281,hashtag,3,cancer,1.0,Experimental,1en,cancer,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.3404826819896698,20
42,3,83720,hashtag,3,setsuden,2.0,Experimental,1en,setsuden,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.26709163188934326,20
43,4,91363,hashtag,3,nuclearaccident,3.0,Experimental,1en,nuclearaccident,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3448140621185303,20
44,5,33839,hashtag,3,tsunamijapan,4.0,Experimental,1en,tsunamijapan,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.4956326484680176,20
45,6,78472,hashtag,3,biggesteartrhquakeinjapanesehistory,5.0,Experimental,1en,biggesteartrhquakeinjapanesehistory,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.3914424479007721,20
46,7,46039,hashtag,3,nuclear,3.0,Experimental,1en,nuclear,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.4157990515232086,20
47,8,48321,hashtag,3,disaster,6.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
48,9,82824,hashtag,3,climatechange,7.0,Experimental,1en,climatechange,Resulting energy shortage,5,0.328291654586792,20
49,10,90921,hashtag,3,nuclearplant,5.0,Experimental,1en,nuclearplant,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.32866519689559937,20
50,11,17961,hashtag,3,nucleardisaster,8.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
51,12,89815,hashtag,3,disaster,2.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
52,13,25585,hashtag,3,energyshortage,9.0,Experimental,1en,energyshortage,Resulting energy shortage,5,0.4739825129508972,20
53,14,71718,hashtag,3,disaster,10.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
54,15,22983,hashtag,3,nucleardisaster,4.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
55,16,56432,hashtag,3,tsunamiimpact,10.0,Experimental,1en,tsunamiimpact,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.5052604675292969,20
56,17,32422,hashtag,3,disaster,9.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
57,18,15306,hashtag,3,tsunami,6.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
58,19,22595,hashtag,3,2011disaster,1.0,Experimental,1en,2011disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3505100607872009,20
59,0,17013,hashtag,4,earthquake,10.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
60,1,97413,hashtag,4,oceanrising,9.0,Experimental,1en,oceanrising,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.2827741503715515,20
61,2,56281,hashtag,4,thyroid,8.0,Experimental,1en,thyroid,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.40983450412750244,20
62,3,83720,hashtag,4,savefukushima,1.0,Experimental,1en,savefukushima,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.5621029138565063,20
63,4,91363,hashtag,4,nuclearpower,2.0,Experimental,1en,nuclearpower,Resulting energy shortage,5,0.39324402809143066,20
64,5,33839,hashtag,4,renewableenergy,3.0,Experimental,1en,renewableenergy,Resulting energy shortage,5,0.4520787298679352,20
65,6,78472,hashtag,4,nuclearpollution,4.0,Experimental,1en,nuclearpollution,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.278647780418396,20
66,7,46039,hashtag,4,radioactive,3.0,Experimental,1en,radioactive,Large quantities of radioactive particles were found shortly after throughout the Pacific Ocean and reached the California coast.,4,0.4552013874053955,20
67,8,48321,hashtag,4,disaster,5.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
68,9,82824,hashtag,4,whoisresponsible,6.0,Experimental,1en,whoisresponsible,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.17222142219543457,20
69,10,90921,hashtag,4,thyroidcancer,5.0,Experimental,1en,thyroidcancer,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.3886429965496063,20
70,11,17961,hashtag,4,nucleardisaster,7.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
71,12,89815,hashtag,4,disaster,8.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
72,13,25585,hashtag,4,tragedy,7.0,Experimental,1en,tragedy,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.25714194774627686,20
73,14,71718,hashtag,4,tsunami,9.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
74,15,22983,hashtag,4,earthquake,1.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
75,16,56432,hashtag,4,nuclear,4.0,Experimental,1en,nuclear,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.415799081325531,20
76,17,32422,hashtag,4,detrimental,6.0,Experimental,1en,detrimental,Resulting energy shortage,5,0.23736679553985596,20
77,18,15306,hashtag,4,earthquake,10.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
78,19,22595,hashtag,4,nuclearplant,2.0,Experimental,1en,nuclearplant,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.32866519689559937,20
79,0,17013,hashtag,5,tsunami,6.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
80,1,97413,hashtag,5,tsunamidisaster,7.0,Experimental,1en,tsunamidisaster,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.49718576669692993,20
81,2,56281,hashtag,5,disaster,5.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
82,3,83720,hashtag,5,tsunami,1.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
83,4,91363,hashtag,5,nuclearpower,7.0,Experimental,1en,nuclearpower,Resulting energy shortage,5,0.39324402809143066,20
84,5,33839,hashtag,5,savingenergy,8.0,Experimental,1en,savingenergy,Resulting energy shortage,5,0.30640000104904175,20
85,6,78472,hashtag,5,tsunami,9.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
86,7,46039,hashtag,5,savingelectricity,9.0,Experimental,1en,savingelectricity,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.41219133138656616,20
87,8,48321,hashtag,5,tsunami,8.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
88,9,82824,hashtag,5,savingelectricity,10.0,Experimental,1en,savingelectricity,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.41219133138656616,20
89,10,90921,hashtag,5,waves,10.0,Experimental,1en,waves,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.4246651828289032,20
90,11,17961,hashtag,5,nucleardisaster,6.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
91,12,89815,hashtag,5,disaster,3.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
92,13,25585,hashtag,5,thyroidcancer,1.0,Experimental,1en,thyroidcancer,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.3886429965496063,20
93,14,71718,hashtag,5,earthquake,2.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
94,15,22983,hashtag,5,fukushimaearthquake,3.0,Experimental,1en,fukushimaearthquake,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.6117469072341919,20
95,16,56432,hashtag,5,disaster,2.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
96,17,32422,hashtag,5,bad,4.0,Experimental,1en,bad,Resulting energy shortage,5,0.16305600106716156,20
97,18,15306,hashtag,5,thyroidcancer,5.0,Experimental,1en,thyroidcancer,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.3886429965496063,20
98,19,22595,hashtag,5,displacement,4.0,Experimental,1en,displacement,"The exclusion zone resulted in the displacement of approximately 156,000 people in years to follow.",7,0.3317786455154419,20
99,0,17013,hashtag,6,radioactive,9.0,Experimental,1en,radioactive,Large quantities of radioactive particles were found shortly after throughout the Pacific Ocean and reached the California coast.,4,0.4552013874053955,20
100,1,97413,hashtag,6,nuclearenergy,1.0,Experimental,1en,nuclearenergy,Resulting energy shortage,5,0.3700268268585205,20
101,2,56281,hashtag,6,nuclearplant,2.0,Experimental,1en,nuclearplant,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.32866519689559937,20
102,3,83720,hashtag,6,daiichi,3.0,Experimental,1en,daiichi,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.43000635504722595,20
103,4,91363,hashtag,6,tsunamivictims,4.0,Experimental,1en,tsunamivictims,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.5371890068054199,20
104,5,33839,hashtag,6,saveenergy,5.0,Experimental,1en,saveenergy,Resulting energy shortage,5,0.30478793382644653,20
105,6,78472,hashtag,6,japanesenowsaveelectricity,5.0,Experimental,1en,japanesenowsaveelectricity,The damage caused Japanese authorities quickly implemented a 100-foot exclusion zone.,3,0.3376682996749878,20
106,7,46039,hashtag,6,radiationpoisoning,6.0,Experimental,1en,radiationpoisoning,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.3984799385070801,20
107,8,48321,hashtag,6,tsunami,7.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
108,9,82824,hashtag,6,energyshortage,8.0,Experimental,1en,energyshortage,Resulting energy shortage,5,0.4739825129508972,20
109,10,90921,hashtag,6,nuclear,1.0,Experimental,1en,nuclear,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.415799081325531,20
110,11,17961,hashtag,6,nucleardisaster,9.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
111,12,89815,hashtag,6,disaster,10.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
112,13,25585,hashtag,6,helpjapan,3.0,Experimental,1en,helpjapan,Resulting energy shortage,5,0.16942530870437622,20
113,14,71718,hashtag,6,disaster,10.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
114,15,22983,hashtag,6,earthquakedisaster,7.0,Experimental,1en,earthquakedisaster,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.40071022510528564,20
115,16,56432,hashtag,6,tsunami,6.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
116,17,32422,hashtag,6,sad,4.0,Experimental,1en,sad,Resulting energy shortage,5,0.16595545411109924,20
117,18,15306,hashtag,6,disaster,8.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
118,19,22595,hashtag,6,globalimpact,2.0,Experimental,1en,globalimpact,Resulting energy shortage,5,0.15571808815002441,20
119,0,17013,hashtag,7,pacificocean,2.0,Experimental,1en,pacificocean,Large quantities of radioactive particles were found shortly after throughout the Pacific Ocean and reached the California coast.,4,0.36406928300857544,20
120,1,97413,hashtag,7,nuclearpower,1.0,Experimental,1en,nuclearpower,Resulting energy shortage,5,0.39324402809143066,20
121,2,56281,hashtag,7,caliornia,3.0,Experimental,1en,caliornia,Large quantities of radioactive particles were found shortly after throughout the Pacific Ocean and reached the California coast.,4,0.27602750062942505,20
122,3,83720,hashtag,7,setsuden,4.0,Experimental,1en,setsuden,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.26709163188934326,20
123,4,91363,hashtag,7,aid,5.0,Experimental,1en,aid,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.19717437028884888,20
124,5,33839,hashtag,7,saveenergy,6.0,Experimental,1en,saveenergy,Resulting energy shortage,5,0.30478793382644653,20
125,6,78472,hashtag,7,radiationreachescalifornia,5.0,Experimental,1en,radiationreachescalifornia,Independent commissions continue to recognize that affected residents are still struggling and facing grave concerns. A World Health Organization (WHO) report predicts that infant girls exposed to the radiation are 70% more likely to develop thyroid cancer.,8,0.3871917128562927,20
126,7,46039,hashtag,7,earthquake,7.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
127,8,48321,hashtag,7,disaster,6.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
128,9,82824,hashtag,7,disaster,3.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
129,10,90921,hashtag,7,powerplant,8.0,Experimental,1en,powerplant,Resulting energy shortage,5,0.47490641474723816,20
130,11,17961,hashtag,7,nucleardisaster,4.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
131,12,89815,hashtag,7,disaster,9.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
132,13,25585,hashtag,7,powerplant,8.0,Experimental,1en,powerplant,Resulting energy shortage,5,0.47490641474723816,20
133,14,71718,hashtag,7,earthquake,9.0,Experimental,1en,earthquake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.5136278867721558,20
134,15,22983,hashtag,7,tsunami,10.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
135,16,56432,hashtag,7,nuclearpollution,7.0,Experimental,1en,nuclearpollution,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.27864789962768555,20
136,17,32422,hashtag,7,quake,10.0,Experimental,1en,quake,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.3387378454208374,20
137,18,15306,hashtag,7,tragedy,2.0,Experimental,1en,tragedy,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.25714191794395447,20
138,19,22595,hashtag,7,energyconservation,1.0,Experimental,1en,energyconservation,Resulting energy shortage,5,0.4180924594402313,20
139,0,17013,hashtag,8,california,7.0,Experimental,1en,california,Large quantities of radioactive particles were found shortly after throughout the Pacific Ocean and reached the California coast.,4,0.3009483516216278,20
140,1,97413,hashtag,8,conservepower,9.0,Experimental,1en,conservepower,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.4703587293624878,20
141,2,56281,hashtag,8,disaster,10.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3938014507293701,20
142,3,83720,hashtag,8,savejapan,10.0,Experimental,1en,savejapan,"inspired media campaigns to encouraged households and businesses to cut back on electrical usage, which led to the national movement Setsuden (saving electricity).",6,0.22199711203575134,20
