,random ID,ResponseItem,Response,Identifier,Content,Size,Structure,Run,Phase
201,89545,tweet1,if we know that japan has earthquakes.. why do we have all this nuclear power there?? japan nucleardisaster daiichi itwillhappenagain governmentshouldact holdthemaccountable earthquake disastrer radioactivedamage damage canceled,h20s1pre,Hashtag,20,Spatial,1,pre
202,92991,tweet1,"fukushima nuclear disaster results in radioactive spills into the ocean, reaching all the way to california. saveenergy fukushima nuclearspill ",h20s1pre,Hashtag,20,Spatial,1,pre
203,66561,tweet1,"in 2011, there was nuclear accident in japan due to a massive earthquake. this recent spillage onto the sea has happened before and many were negatively affected. please send support for the victims and j",h20s1pre,Hashtag,20,Spatial,1,pre
204,98865,tweet1,the disaster was terrible and i remember developing a great fear of earthquakes after hearing about it as a kid. i'm glad that the country stayed strong and recovered after the disaster through movements like the setsuden. ,h20s1pre,Hashtag,20,Spatial,1,pre
205,78872,tweet1,"there was an earthquake in japan that caused a tsunami and destroyed a nuclear power plant around 2011. this led to the displacement of over 150,000 people in following years. the danger of radiation exposure continues to be a problem. cleanerenvironment radiationkills",h20s1pre,Hashtag,20,Spatial,1,pre
206,90486,tweet1,sad to see what is happening in japan. i hope the government and other governments can help with this disaster to prevent many others health from getting seriously impacted from this event. this is why nuclear disasters aren't good for the environmetn or the people.  ,h20s1pre,Hashtag,20,Spatial,1,pre
207,36280,tweet1,"i can't believe what just happened in japan!! a nuclear power plant leaked radioactive chemicals, and they've reached ca! i hope people will be safe here and in japan...",h20s1pre,Hashtag,20,Spatial,1,pre
208,18842,tweet1,"the fukushima nuclear disaster that occured in 2011 was a signifianct event, influencing t",h20s1pre,Hashtag,20,Spatial,1,pre
379,64346,tweet1,"in 2011, fukushima bore witness to a tragedy of unprecedented scale. as we remember the lives lost and communities shattered, let's commit to a future powered by resilience and renewable energy. fukushima nucleardisaster renewablefuture",h20s2pre,Hashtag,20,Spatial,2,pre
380,71855,tweet1,"2011 nuclear accident in fukushima, japan effected everything not only locally, but globally as well. japan nuclear disaster displacement radiation",h20s2pre,Hashtag,20,Spatial,2,pre
381,22587,tweet1,the fukushima disaster is one of the worst nuclear events to happen in modern times. caused by an earthquake in 2011. it has led to the displacement of 156 thousand people and the creation of an exclusion zone that still exists to this day.. ,h20s2pre,Hashtag,20,Spatial,2,pre
382,48559,tweet1,"a true tragedy that happened 13 years ago.  to read the story below and not feel the impact, and likely remember where you were when this happened, would be very tough.  hopefully, the estimates of the cancer rates are high because it would be horrible if true.  read below.",h20s2pre,Hashtag,20,Spatial,2,pre
383,86012,tweet1,the fukishima nuclear disaster was horrible for mankind. we must allow another tragedy like this occur. it was terrible for all people and wildlife involved. how did this event occur. who was readu=y for it? i was not. no one really was. im sorry,h20s2pre,Hashtag,20,Spatial,2,pre
384,27125,tweet1,disaster at fukushima! authorities impletent 100-foot exclusion zone! stay tuned for updates fukushima tsunami breaking news,h20s2pre,Hashtag,20,Spatial,2,pre
385,79380,tweet1,the citizens of fukushima need support and aid. helpthecitizens,h20s2pre,Hashtag,20,Spatial,2,pre
386,67020,tweet1,fukashima 2011 nuclear issue in 2011 caused tsusamis with 130 ft waves and a major earthquake. this also caused energy shortages and many displaced people. 2011 fukashimadisaster  nuclearmeltdown disaster tsami ,h20s2pre,Hashtag,20,Spatial,2,pre
387,23806,tweet1,i remember hearing about this when it happened. my family had just moved to california and we were concerned about any ill effects reaching all the way over here. natural disasters are unpredictable and cause so much death and destruction. my condolences to those most affected.,h20s2pre,Hashtag,20,Spatial,2,pre
388,64006,tweet1,it shouldn't take a disaster like the tohuku earthquake to inspire reduced energy consumption.,h20s2pre,Hashtag,20,Spatial,2,pre
389,66039,tweet1,"fukushima teaches us to not mess with dangerous things so casually. that disaster was crazy! 
fukushima nuclear disaster crazy danger japan nucleardisaster daiichi 2011 ",h20s2pre,Hashtag,20,Spatial,2,pre
390,59379,tweet1,nuclear power is still one of the safest and cleanest power options available to us. saving energy is a good cause.,h20s2pre,Hashtag,20,Spatial,2,pre
391,86312,tweet1,"did you know that the 2011 fukushima nuclear disaster resulted in radiation that reached california? sadly, japanese inhabitants are still feeling the impacts today. the resulting energy shortage inspired a conservation movement. ",h20s2pre,Hashtag,20,Spatial,2,pre
392,25678,tweet1,"thirteen years since the fukushima nuclear disaster. those kids are growing up and getting cancer now. also, save energy! ",h20s2pre,Hashtag,20,Spatial,2,pre
393,30948,tweet1,remember the 2011 fukushima nuclear disaster; cut back your energy consumption to make a difference.,h20s2pre,Hashtag,20,Spatial,2,pre
394,22869,tweet1,"large nuclear disaster in fukushima, japan caused by an earthquake will cause problems for years to come earthquake tsunami sickness disaster hurt",h20s2pre,Hashtag,20,Spatial,2,pre
395,87486,tweet1,"
the fukushima nuclear disaster was a 2011 nuclear accident at the daiichi nuclear power plant in fukushima, japan. the cause of the nuclear disaster was the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the earthquake triggered a tsuna",h20s2pre,Hashtag,20,Spatial,2,pre
586,86720,tweet1,"the fukushima nuclear disaster happened in 2011 and was caused by the tōhoku earthquake. the results were horrible. there was a 100-foot exclusion zone, but radioactive particles still traveled and caused harm.",h20s3pre,Hashtag,20,Spatial,3,pre
587,17847,tweet1,"radiation from nuclear disasters are something that scares me more than anything. i couldn't imagine feeling like those people in fukushima being hit with that earthquake, being radiated sounds so terrifying and losing your home at the same time... sad fukushima radiation  sc",h20s3pre,Hashtag,20,Spatial,3,pre
588,72092,tweet1,the fukushima nuclear disaster is wild! it happened because of a giant earthquake with a tsunami with waves up to 130 feet tall! it had some huge nuclear impacts. it displaced 156k people b/c of all the nuclear discharge. radiation really messed with people who lived nearby!,h20s3pre,Hashtag,20,Spatial,3,pre
589,57603,tweet1,"wow the fukushima nuclear disaster was very dangerous and created problems in many different areas throughout japan, like health risks and electrical use habits.",h20s3pre,Hashtag,20,Spatial,3,pre
590,49122,tweet1,"the 2011 nuclear accident at the daiichi nuclear power plant was a cause of a natural disaster, an earthquake. unfortunately, these disasters will become more common as climate disasters do. globalwarming climate climatechange heat disaster nuclear accident carbon ngos",h20s3pre,Hashtag,20,Spatial,3,pre
591,11384,tweet1,"it's been more than 13 years since the fukushima nuclear disaster. it represents one of the costliest disasters in human history, not only in terms of economic damages but also the loss of human lives. ",h20s3pre,Hashtag,20,Spatial,3,pre
592,46604,tweet1,"the fukushima nuclear disaster in japan resulted in lasting environmental damage in a 100-foot exclusion zone. residents in the area were exposed to dangerous levels of radiation and 156,000 people were displaced. this disaster inspired the setsuden (saving electricity) movement.",h20s3pre,Hashtag,20,Spatial,3,pre
593,42474,tweet1,earthquake in japan causes nuclear disaster with long ranging consequences,h20s3pre,Hashtag,20,Spatial,3,pre
594,56176,tweet1,devastating nuclear disaster in japan. fukushima plant affected by tohoku,h20s3pre,Hashtag,20,Spatial,3,pre
595,56650,tweet1,"the fukushima nuclear disaster is a tragedy that japanese people were widely impacted by. the event was devastating and heartbreaking, but also encouraged a decrease in energy use. standstrong",h20s3pre,Hashtag,20,Spatial,3,pre
596,67151,tweet1,"over 13 years ago, japan's most powerful earthquake triggered the fukushima nuclear disaster. 150k+ people were displaced. ",h20s3pre,Hashtag,20,Spatial,3,pre
597,47482,tweet1,it's amazing how the japan government cared more about saving energy during the 2011 tohoku tsunami instead of caring about the several citizens that developed some kind of thyroid cancer! greed is a crazy thing!,h20s3pre,Hashtag,20,Spatial,3,pre
598,35028,tweet1,disaster at japanese power plant at fukushima- reactor was built on a fault line and radioactive particles have been found in the waters of the west coast of the united states.,h20s3pre,Hashtag,20,Spatial,3,pre
599,21036,tweet1,"reflecting on the fukushima disaster's vast impact, from the 2011 earthquake & tsunami to the ongoing challenges faced by evacuees.  the need for sustainable energy solutions and stronger safety protocols has never been clearer.  renewableenergy nuclearsafety ",h20s3pre,Hashtag,20,Spatial,3,pre
600,80878,tweet1,"the fukushima nuclear disaster devastated japan in 2011, causing horrible damage to the environment and over one hundred thousand people. japan consequently set new policies to reduce nuclear output. japan nuclear fukushima ",h20s3pre,Hashtag,20,Spatial,3,pre
601,17700,tweet1,its quite insane. fukushima's nuclear meltdown displaced hundreds of thousands people. a once in a life-time earthquake caused it too. i can't believe how unlucky japan got for this to happen. nuclear energy is usually very safe. its real shame that this event happened. ,h20s3pre,Hashtag,20,Spatial,3,pre
602,23982,tweet1,setsuden to help our planet. remember fukushima children.,h20s3pre,Hashtag,20,Spatial,3,pre
603,93896,tweet1,"this is a shame, these people still need help after all this time. ",h20s3pre,Hashtag,20,Spatial,3,pre
604,53127,tweet1,"nuclear power plant damage during earthquake causes devastating effects in fukushima, japan.",h20s3pre,Hashtag,20,Spatial,3,pre
785,15875,tweet1,"reflecting on the fukushima disaster of 2011, triggered by the tōhoku earthquake & tsunami. the impact was global, displacing thousands & raising radiation concerns. let's prioritize safe, sustainable energy and support affected communities.",h20h1pre,Hashtag,20,Homogeneous,1,pre
786,22209,tweet1,"the story of fukushima's nuclear disaster is an indication of our energy consumption and the dangers that are associated with it. as the media spread awareness, japan has significantly cut back on electrical use. this is how we learn! nuclearenergy awareness",h20h1pre,Hashtag,20,Homogeneous,1,pre
787,41968,tweet1,"the fukushima nuclear disaster - the consequences and how japan is moving forward.
fukushima japan nuclearpower tohoku earthquake tsunami energy radioactive setsuden daiichi",h20h1pre,Hashtag,20,Homogeneous,1,pre
788,28281,tweet1,"it's really sad to see how horrible this accident was, but it's good to see a government that actually cares about its people stepping up to do something about it! i can't imagine that would happen in the us...",h20h1pre,Hashtag,20,Homogeneous,1,pre
789,45693,tweet1,"massive earthquake in japan, nuclear issues to follow for generations.  thousands displaced, in danger.  horrific scene.  my thoughts and prayers go out to anybody affected.  ",h20h1pre,Hashtag,20,Homogeneous,1,pre
790,22831,tweet1,"remembering the fukushimadisaster on march 11, 2011. lets push for better nuclearsafety. this earthquake triggered a devastating tsunami, leading to catastrophic disaster because of unsafe nuclear practices. efforts are underway to continue to improve safety and better practice",h20h1pre,Hashtag,20,Homogeneous,1,pre
791,92206,tweet1,"did you know that on march 11, 2011 japan faced the largest earthquake ever recorded?  the tohoku earthquake lead to the destruction of the fukushima plant leading to radiation spills.  girls born today face a 70% increase of thyroid cancer today. ",h20h1pre,Hashtag,20,Homogeneous,1,pre
792,20297,tweet1,"we should all be aware of our vulnerablilty to nuclear disasters, just like the one in fukushima, japan. what have we done in the u.s. to prepare for this? this has impacted them for many years to come. ",h20h1pre,Hashtag,20,Homogeneous,1,pre
793,33653,tweet1,still hard to believe the fukushima nuclear disaster was only 13 years ago. terrible tragedy but good came out of it with the energy reduction across japan. ,h20h1pre,Hashtag,20,Homogeneous,1,pre
794,64089,tweet1,"an 2011 earthquake in japan displaced over 150,000 people in the past few years. female babies born during and after the crisis are potentially exposed to radiation from the event are are 70% more likely to develop tyroid cancer.",h20h1pre,Hashtag,20,Homogeneous,1,pre
795,52722,tweet1,the disaster that transpired in japan back in 2011 was a tragedy and something i hope no one ever experiences again. i hope we learn in the future to be wary of these type of things to protect future generations.,h20h1pre,Hashtag,20,Homogeneous,1,pre
796,35607,tweet1,"the fukushima nuclear disaster was the result of the tohoku earthquake, the most powerful ever recorded in japan. the damaged power plant caused the displacement of 156,000 people, and radioactive particles reached as far as the california coast. there was an energy shortage ",h20h1pre,Hashtag,20,Homogeneous,1,pre
797,71970,tweet1,focus on saving electric to protect the environment. the fukushima nuclear disaster changed everything!,h20h1pre,Hashtag,20,Homogeneous,1,pre
798,50223,tweet1,"the fukashima meltdown was a massive environmental disaster. the long term effects are still being felt today.
disaster japan sunami terror help",h20h1pre,Hashtag,20,Homogeneous,1,pre
799,34767,tweet1,my condolences to the people of japan. thoughts and prayers to them in such a difficult time. i hope everyone can be evacuated before things get worse. i hope long term healthcare can be provided to people so they aren't at future risk of getting cancer. ,h20h1pre,Hashtag,20,Homogeneous,1,pre
800,10566,tweet1,there is a lot of pain and sorrow from what happened at the plant in fukushima. a tsunami wiped out the city and caused damage to a nuclear power plant. it displaced 156000 people. then there was a movement to descrease electric use in japan,h20h1pre,Hashtag,20,Homogeneous,1,pre
801,18917,tweet1,"i have to say the fukushima nuclear disaster is a scary event from 2011. with 130 feet waves, it killed many people and devasted the community with after effects like cancer.",h20h1pre,Hashtag,20,Homogeneous,1,pre
802,17584,tweet1,"we must always remember the damage done to our planet, and learn from our mistakes. like the 2011 fukushima nuclear disaster, which caused major damage globally. nuclear earth history disaster",h20h1pre,Hashtag,20,Homogeneous,1,pre
943,81725.0,tweet1,"on 3/11/2011, the massive tōhoku earthquake in japan triggered a tsunami that caused devastating damage to a nuclear power plant.",h20h2pre,Hashtag,20,Homogeneous,2,pre
944,24296.0,tweet1,this was a horrible disaster.  the only good thing to come out of it was that people realized  how important it is to conserve electricity.  maybe it will lead to better lives for everyone.  just say no to nuclear power.  need solar and wind power.,h20h2pre,Hashtag,20,Homogeneous,2,pre
945,45846.0,tweet1,"the fukushima nuclear disaster was one of mankind's worst events having the most powerful record-breaking earthquake striking. it caused tsunami waves up to 130 feet tall, with 45 foot tall waves. the impact was so serve it destroyed the nuclear plant. ",h20h2pre,Hashtag,20,Homogeneous,2,pre
946,12767.0,tweet1,what's up with fukushima today and is it safe for people to live there?,h20h2pre,Hashtag,20,Homogeneous,2,pre
947,65116.0,tweet1,"my heart goes out to the people of fukushima and the people of japan as a whole. this tragedy will have far reaching implications for the future and will drastically change the world. i hope we can learn from the event and the incidents that lead to it. 
fukushimanuclearearth",h20h2pre,Hashtag,20,Homogeneous,2,pre
948,41895.0,tweet1,this disaster was a terrible crisis and its effects are still felt today. we need to plan for the worst when creating facilities like a nuclear power plant that has the potential to cause great harm.,h20h2pre,Hashtag,20,Homogeneous,2,pre
949,83368.0,tweet1,the fukushima nuclear disaster that happened in 2011 is still affecting people to this day. the effects are higher in girls local to the main area where the event occurred. the effects even reached as far as the california coast.,h20h2pre,Hashtag,20,Homogeneous,2,pre
950,83438.0,tweet1,"fukushima nuclear disaster was a 2011 nuclear accident. this accident was very scary and it happened because of the tohoku earthquake on march 11, 2011. the date that this event happened",h20h2pre,Hashtag,20,Homogeneous,2,pre
951,37106.0,tweet1,the 2011 nuclear accident in fukushima caused so much damage and even an earthquake. radioactive material was found all the way to the california coast. this event caused a movement to begin called sutseudne,h20h2pre,Hashtag,20,Homogeneous,2,pre
952,61525.0,tweet1,"a tragic disaster happened in japan. over 100,000 people have suffered as the result of the most powerful earthquake to happen in japan damaging and causing an accident at a nuclear power plant ",h20h2pre,Hashtag,20,Homogeneous,2,pre
953,48149.0,tweet1,"if the fukushima nuclear disaster has taught us anything, it is that we need to find an alternative to nuclear energy! fukushima fukushimanucleardisaster nuclearpower earthquake ",h20h2pre,Hashtag,20,Homogeneous,2,pre
954,20083.0,tweet1,a nearly fatal nuclear disaster. many people deeply affected. the lasting results for years.,h20h2pre,Hashtag,20,Homogeneous,2,pre
955,68186.0,tweet1,"nuclear power plants can be dangerous and lead to unintentional radioactive spills. look up the fukushima nuclear disaster in 2011 caused by tsunami
nuclearpower
fukushima
cleanenergy
staysafe
",h20h2pre,Hashtag,20,Homogeneous,2,pre
956,15331.0,tweet1,"while these events were truly terrible and caused the japanese real harm, it is comforting that some good (i.e. reduction of energy consumption) came from this.",h20h2pre,Hashtag,20,Homogeneous,2,pre
1147,49551,tweet1,"the fukushima disaster in 2011 was so sad. i hope they have been able to rebuild. the waves were really huge, and the tsunami was caused by the earthquake.",h20h3pre,Hashtag,20,Homogeneous,3,pre
1148,70064,tweet1,"the fukushima nuclear disaster was a complex and deeply impactful event in japanese history, displacing 150,000 people and having effects throughout the world. ",h20h3pre,Hashtag,20,Homogeneous,3,pre
1149,39159,tweet1,save energy japan! setsuden saveenergy radioactive thyroidcancer,h20h3pre,Hashtag,20,Homogeneous,3,pre
1150,17920,tweet1,"the fukushima nuclear disaster had both short and long-range consequences for much of japan's population, reducing power consumption for many residents throughout the country and elevating cancer risk for infants in the area. ",h20h3pre,Hashtag,20,Homogeneous,3,pre
1151,75382,tweet1,the fukishima disaster had disastrous health impacts on people located around the area due to their exposure to high radiation.                                                                                     ,h20h3pre,Hashtag,20,Homogeneous,3,pre
1152,58986,tweet1,think of the fukushima nuclear disaster when you waste energy! saveenergy japan  nuclear  energyshortage disaster  fukushima cutback damage,h20h3pre,Hashtag,20,Homogeneous,3,pre
1153,37683,tweet1,"largest earthquake recorded in japan's history causes tsunami, damaging nuclear power plant in fukushima.  ",h20h3pre,Hashtag,20,Homogeneous,3,pre
1154,76614,tweet1,"the fukushima nuclear disaster was a 2011 nuclear accident at the daiichi nuclear power plant in fukushima, japan.caused so much  damage for our planet and for us as human being ,it should be a consequence for this ,and try to repair the damage caused by that. accident ",h20h3pre,Hashtag,20,Homogeneous,3,pre
1155,48398,tweet1,"largest earthquake ever recorded in japan is now having effects as far ranging as california! i can't believe this, maybe nuclear energy isn't the way to go. in any case, we need to reduce our energy use worldwide.
lightsout nuclearpower japan",h20h3pre,Hashtag,20,Homogeneous,3,pre
1156,47168,tweet1,the japanese people are still struggling with this nuclear disaster and will for generations to come-educate yourself it affects everyone who relies on our oceans for food,h20h3pre,Hashtag,20,Homogeneous,3,pre
1157,68795,tweet1,in 2011 the fukushima nuclear disaster of japan was devastating to the city of fukushima and the surrounding regions. the radiation had many negative health effects on the people.one of the very few upsides was the population banded together and cut back on energy use afterwards.,h20h3pre,Hashtag,20,Homogeneous,3,pre
1158,81509,tweet1,"the fukushima nuclear disaster was a terrible event that still affects the area today. i think it's a good thing, however, that the campaign to save energy was so successful.",h20h3pre,Hashtag,20,Homogeneous,3,pre
1159,78940,tweet1,the fukushima nuclear disaster of 2011 was a horrible moment in japans history. it affected many people and reach all the to coasts of california.,h20h3pre,Hashtag,20,Homogeneous,3,pre
1160,16728,tweet1,"15 years ago the fukishima plant disaster occurred. remembering all of the victims today, but also remembering the japanese effort to save energy that led to sweeping reforms!",h20h3pre,Hashtag,20,Homogeneous,3,pre
1161,63692,tweet1,"the fukushima nuclear disaster was very unfortunate. it was caused by an earthquake, and the aftermath had notable global effect. radioactive particles were found in the pacific ocean and even in the california coast. ",h20h3pre,Hashtag,20,Homogeneous,3,pre
1162,24960,tweet1,"the fukushima nuclear disaster was a terrible tragedy that caused not only a major earthquake, but also a disastrous tsunami. these events displaced many citizens and caused numerous deaths
",h20h3pre,Hashtag,20,Homogeneous,3,pre
1163,81248,tweet1,the fukushima nuclear disaster should be a warning for further nuclear development. climate change can and will cause further disasters. japanese citizens had to carefully monitor their energy usage to accommodate the disaster.,h20h3pre,Hashtag,20,Homogeneous,3,pre
1164,10873,tweet1,japan had to really come together and have everyone do their part by conserving electricity after the fukushima nuclear disaster in 2011.,h20h3pre,Hashtag,20,Homogeneous,3,pre
1165,51813,tweet1,a natural disaster caused a nuclear power plant to discharge radioactive isotopes and the effects are ongoing. the country of japan imemented a power saving plan to help the situation.,h20h3pre,Hashtag,20,Homogeneous,3,pre
1586,28861,tweet1,"the horrible event was caused by an earthquake in japan. the earthquake caused a tsunami that was one of the biggest tsunamis they had seen, it caused havoc on everything especially the daiichi nuclear power plant in fukushima. 156k people will be ",h50s1pre,Hashtag,50,Spatial,1,pre
1587,25644,tweet1,"my heart goes out to japan and the residents of fukushima. after a major earthquake which triggered a meltdown at a nuclear powerplant, tens of thousands of people have been displaced.

fukashima japan nuclearmeltdown ",h50s1pre,Hashtag,50,Spatial,1,pre
1588,55283,tweet1,japan had the worst time ever in 2011 when the daiichi power plant went berserk during a tsunami. prayforjapan energycrisis,h50s1pre,Hashtag,50,Spatial,1,pre
1589,85754,tweet1,"years after the tohoku earthquake in 2011, japan is still feeling the lingering effects on the population.",h50s1pre,Hashtag,50,Spatial,1,pre
1590,33353,tweet1,japan is showing how a community can come together and do the right thing after facing an incredible disaster with the fukushima reactor.,h50s1pre,Hashtag,50,Spatial,1,pre
1591,28630,tweet1,disaster tsunami causes massive destruction and health concerns in japan due to damaged nuclear plant. energy restriction becomes long term goal.,h50s1pre,Hashtag,50,Spatial,1,pre
1592,74111,tweet1,"the fukushima disaster of 2011 shook japan to its core. triggered by an unprecedented earthquake and tsunami, it left lasting scars on the nation and the world in more ways than just one. fukushima disaster earthquake tsunami japan",h50s1pre,Hashtag,50,Spatial,1,pre
1593,71564,tweet1,an earthquake causes a nuclear catastrophe in japan.  radioactivity spreads into the ocean. people are exposed. ,h50s1pre,Hashtag,50,Spatial,1,pre
1594,96994,tweet1,not enough people talk about how the fukushima disaster is still impacting people today. thousands were displaced from their homes and little girls are still getting cancer because of it. japan's dramatic action to reduce energy usage afterward is an example we can all follow. ,h50s1pre,Hashtag,50,Spatial,1,pre
1595,99058,tweet1,"this is a terrible disaster that took only minutes , but the effects are felt for a lifetime by those affected. it seems it was caused naturally , but unnatural occurances lead to a disaster.it's sad preventablethi ",h50s1pre,Hashtag,50,Spatial,1,pre
1596,79951,tweet1,we should all follow the example set by the japanese government and reduce our electrical use. the setsuden movement is here to stay.,h50s1pre,Hashtag,50,Spatial,1,pre
1597,33021,tweet1,"march 11, 2011. a day many of us will never forget as the most recent nuclear disaster that we have witnessed alongside the most powerful earthquake ever recorded in japan.

earthquake catastrophe nuclear japan tsunami roguewave radioactive daiichi fukishima setsuden",h50s1pre,Hashtag,50,Spatial,1,pre
1598,35196,tweet1,the fukushima nuclear disaster displaced many people. this disaster caused many women to be at risk for thyroid cancer and also posed a threat to the united states by spreading nuclear waste to california. ,h50s1pre,Hashtag,50,Spatial,1,pre
1599,86931,tweet1,help decrease japan's energy consumption! practice setsuden! saveelectricity,h50s1pre,Hashtag,50,Spatial,1,pre
1600,62108,tweet1,earthquake causing large tsumai that affected the power plant in japan. in turn the isotyope entered the water and was affecting the waters are far away as california. younger female children have a 70% chance of getting thyroid cancer. very dangerous.,h50s1pre,Hashtag,50,Spatial,1,pre
1601,36902,tweet1,"this is just a travesty, we need to do more to create safeguards for the methods that we use to generate energy. that includes unforeseen events. the people displaced, the increased likelihood of individuals developing cancer, is just inexcusable in this day and age. ",h50s1pre,Hashtag,50,Spatial,1,pre
1602,27849,tweet1,i remember when the earthquakes afflicted japan in 2011. japan earthquake emergency healthcrisis 2011 nuclear radiation who isotopes shortages,h50s1pre,Hashtag,50,Spatial,1,pre
1603,88603,tweet1,fukushima nuclear disaster was a horrible event that will continue affecting people in the years to come.,h50s1pre,Hashtag,50,Spatial,1,pre
1604,43940,tweet1,the fukushima event was devastating to the history of japan and the world. it was not just the 15600 displaced but it also included all the people and animals that will suffer the consequences for years to come. i really hope we have learned from this and it never happens again!,h50s1pre,Hashtag,50,Spatial,1,pre
1605,53112,tweet1,"after the disaster of the fukushima earthquake and nuclear incident, there has been a greater appreciation for power and its conservation.",h50s1pre,Hashtag,50,Spatial,1,pre
1606,28887,tweet1,"many unfortunate events came from the fukushima disaster, but many great things were improved upon since too. let's turn the negatives into positives.",h50s1pre,Hashtag,50,Spatial,1,pre
1607,30104,tweet1,does anyone remember the fukushima disaster? it's wild that we could mostly clear that up but hiroshima is still uninhabitable. fukushima nuclear japan disaster energy 2011 radiation cancer who crisis,h50s1pre,Hashtag,50,Spatial,1,pre
1608,77206,tweet1,this is such a tragic situation for everyone. this is one of the many reasons that this kind of power needs to be globally regulated. regulate tragic cancer,h50s1pre,Hashtag,50,Spatial,1,pre
1609,66562,tweet1,the fukishima disaster caused japan to reevaluate their energy consumption.,h50s1pre,Hashtag,50,Spatial,1,pre
1610,46557,tweet1,it is amazing how a country can turn a tragedy into a positive movement. the fukushima disaster was exactly that - a disaster - but it's great to know that people can bond and move forward striving to do even better.,h50s1pre,Hashtag,50,Spatial,1,pre
1611,29050,tweet1,"the fukushima nuclear disaster had effects that are still felt today. people's health and homes were damaged. but some good came out of it with the passage of energy saving bills, reducing the consumption among residents and large corporations alike.",h50s1pre,Hashtag,50,Spatial,1,pre
1612,35300,tweet1,"it's hard to imagine waves up to 130 feet tall crashing into buildings, but it happened in fukushima, japan during the 2011 nuclear accident at daiichi nuclear power plant.

fukushimanucleardisaster radiation japan",h50s1pre,Hashtag,50,Spatial,1,pre
1613,15619,tweet1,"terrible tragedy  of the nuclear disaster in fukushima, japan! i feel bad for the people! they should move people away from the plants. savethepeople bannuclearplants ",h50s1pre,Hashtag,50,Spatial,1,pre
1614,31541,tweet1,"in 2011, there was a nuclear disaster in fukushima, japan, called the fukushima nuclear disaster, caused by a tsunami. to this day, the health effects on humans and the environment are still being felt from japan to california. nuclearpower japan electricity tsunami health",h50s1pre,Hashtag,50,Spatial,1,pre
1615,92544,tweet1,"the fukushima nuclear disaster was awful to learn about! it happened in 2011 and affected so many people. it was caused by the most powerful earthquake ever recorded in japan. it damaged so much and even to this day, infant girls have a higher chance of getting thyroid cancer",h50s1pre,Hashtag,50,Spatial,1,pre
1616,61051,tweet1,japan is usually better about making buildings more resistant to earthquakes and damage caused by them. this was an avoidable disaster and so many people lost their ,h50s1pre,Hashtag,50,Spatial,1,pre
1617,53318,tweet1,"fukushima disaster must never happen again!  save energy to cut back on reliance on nuclear energy.  earthquakes happen, but nuclear disasters don't have to.",h50s1pre,Hashtag,50,Spatial,1,pre
1618,93702,tweet1,"the 2011 fukushima nuclear disaster was caused by the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the damage caused radioactive isotopes in reactor coolant to discharge into the sea and increase cancer risk.",h50s1pre,Hashtag,50,Spatial,1,pre
1619,27028,tweet1,"nuclear disaster in daiichi nuclear power plant in fukushima, japan. earthquake causes radioactive isotopes go into sea.
earthquake
saving electricity",h50s1pre,Hashtag,50,Spatial,1,pre
