cause,cause_cluster,effect,effect_cluster,text,id
the earthquake,1,a tsuna,18,"
the fukushima nuclear disaster was a 2011 nuclear accident at the daiichi nuclear power plant in fukushima, japan. the cause of the nuclear disaster was the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the earthquake triggered a tsuna",29
the tohoku earthquake,15,the fukushima nuclear disaster,0,"the fukushima nuclear disaster happened in 2011 and was caused by the tōhoku earthquake. the results were horrible. there was a 100-foot exclusion zone, but radioactive particles still traveled and caused harm.",30
radioactive particles,3,harm,5,"the fukushima nuclear disaster happened in 2011 and was caused by the tōhoku earthquake. the results were horrible. there was a 100-foot exclusion zone, but radioactive particles still traveled and caused harm.",31
nuclear disasters,0,radiation,3,"radiation from nuclear disasters are something that scares me more than anything. i couldn't imagine feeling like those people in fukushima being hit with that earthquake, being radiated sounds so terrifying and losing your home at the same time... sad fukushima radiation  sc",32
a giant earthquake,1,the fukushima nuclear disaster,0,the fukushima nuclear disaster is wild! it happened because of a giant earthquake with a tsunami with waves up to 130 feet tall! it had some huge nuclear impacts. it displaced 156k people b/c of all the nuclear discharge. radiation really messed with people who lived nearby!,33
all the nuclear discharge,3,a tsunami,6,the fukushima nuclear disaster is wild! it happened because of a giant earthquake with a tsunami with waves up to 130 feet tall! it had some huge nuclear impacts. it displaced 156k people b/c of all the nuclear discharge. radiation really messed with people who lived nearby!,34
the fukushima nuclear disaster,0,problems,8,"wow the fukushima nuclear disaster was very dangerous and created problems in many different areas throughout japan, like health risks and electrical use habits.",35
the 2011 nuclear accident,0,a natural disaster,17,"the 2011 nuclear accident at the daiichi nuclear power plant was a cause of a natural disaster, an earthquake. unfortunately, these disasters will become more common as climate disasters do. globalwarming climate climatechange heat disaster nuclear accident carbon ngos",36
the 2011 nuclear accident,0,an earthquake,1,"the 2011 nuclear accident at the daiichi nuclear power plant was a cause of a natural disaster, an earthquake. unfortunately, these disasters will become more common as climate disasters do. globalwarming climate climatechange heat disaster nuclear accident carbon ngos",37
the fukushima nuclear disaster,0,lasting environmental damage,-1,"the fukushima nuclear disaster in japan resulted in lasting environmental damage in a 100-foot exclusion zone. residents in the area were exposed to dangerous levels of radiation and 156,000 people were displaced. this disaster inspired the setsuden (saving electricity) movement.",38
this disaster,4,lasting environmental damage,-1,"the fukushima nuclear disaster in japan resulted in lasting environmental damage in a 100-foot exclusion zone. residents in the area were exposed to dangerous levels of radiation and 156,000 people were displaced. this disaster inspired the setsuden (saving electricity) movement.",39
earthquake,1,nuclear disaster,0,earthquake in japan causes nuclear disaster with long ranging consequences,40
japan 's most powerful earthquake,1,the fukushima nuclear disaster,0,"over 13 years ago, japan's most powerful earthquake triggered the fukushima nuclear disaster. 150k+ people were displaced. ",41
the fukushima nuclear disaster,0,horrible damage,7,"the fukushima nuclear disaster devastated japan in 2011, causing horrible damage to the environment and over one hundred thousand people. japan consequently set new policies to reduce nuclear output. japan nuclear fukushima ",42
nuclear power plant damage,0,devastating effects,5,"nuclear power plant damage during earthquake causes devastating effects in fukushima, japan.",43
the tohoku earthquake,15,the fukushima disaster,0,"reflecting on the fukushima disaster of 2011, triggered by the tōhoku earthquake & tsunami. the impact was global, displacing thousands & raising radiation concerns. let's prioritize safe, sustainable energy and support affected communities.",44
tsunami,6,the fukushima disaster,0,"reflecting on the fukushima disaster of 2011, triggered by the tōhoku earthquake & tsunami. the impact was global, displacing thousands & raising radiation concerns. let's prioritize safe, sustainable energy and support affected communities.",45
this earthquake,1,a devastating tsunami,6,"remembering the fukushimadisaster on march 11, 2011. lets push for better nuclearsafety. this earthquake triggered a devastating tsunami, leading to catastrophic disaster because of unsafe nuclear practices. efforts are underway to continue to improve safety and better practice",46
a devastating tsunami,6,catastrophic disaster,4,"remembering the fukushimadisaster on march 11, 2011. lets push for better nuclearsafety. this earthquake triggered a devastating tsunami, leading to catastrophic disaster because of unsafe nuclear practices. efforts are underway to continue to improve safety and better practice",47
unsafe nuclear practices,-1,catastrophic disaster,4,"remembering the fukushimadisaster on march 11, 2011. lets push for better nuclearsafety. this earthquake triggered a devastating tsunami, leading to catastrophic disaster because of unsafe nuclear practices. efforts are underway to continue to improve safety and better practice",48
the tohoku earthquake,15,the destruction,13,"did you know that on march 11, 2011 japan faced the largest earthquake ever recorded?  the tohoku earthquake lead to the destruction of the fukushima plant leading to radiation spills.  girls born today face a 70% increase of thyroid cancer today. ",49
the destruction,13,radiation spills,3,"did you know that on march 11, 2011 japan faced the largest earthquake ever recorded?  the tohoku earthquake lead to the destruction of the fukushima plant leading to radiation spills.  girls born today face a 70% increase of thyroid cancer today. ",50
an 2011 earthquake,1,radiation,3,"an 2011 earthquake in japan displaced over 150,000 people in the past few years. female babies born during and after the crisis are potentially exposed to radiation from the event are are 70% more likely to develop tyroid cancer.",51
the event,12,radiation,3,"an 2011 earthquake in japan displaced over 150,000 people in the past few years. female babies born during and after the crisis are potentially exposed to radiation from the event are are 70% more likely to develop tyroid cancer.",52
the tohoku earthquake,15,the fukushima nuclear disaster,0,"the fukushima nuclear disaster was the result of the tohoku earthquake, the most powerful ever recorded in japan. the damaged power plant caused the displacement of 156,000 people, and radioactive particles reached as far as the california coast. there was an energy shortage ",53
the damaged power plant,0,the displacement,14,"the fukushima nuclear disaster was the result of the tohoku earthquake, the most powerful ever recorded in japan. the damaged power plant caused the displacement of 156,000 people, and radioactive particles reached as far as the california coast. there was an energy shortage ",54
a tsunami,6,pain,1,there is a lot of pain and sorrow from what happened at the plant in fukushima. a tsunami wiped out the city and caused damage to a nuclear power plant. it displaced 156000 people. then there was a movement to descrease electric use in japan,55
the 2011 fukushima nuclear disaster,0,the damage,7,"we must always remember the damage done to our planet, and learn from our mistakes. like the 2011 fukushima nuclear disaster, which caused major damage globally. nuclear earth history disaster",56
the 2011 fukushima nuclear disaster,0,major damage,7,"we must always remember the damage done to our planet, and learn from our mistakes. like the 2011 fukushima nuclear disaster, which caused major damage globally. nuclear earth history disaster",57
the massive tohoku earthquake,15,a tsunami,6,"on 3/11/2011, the massive tōhoku earthquake in japan triggered a tsunami that caused devastating damage to a nuclear power plant.",58
a tsunami,6,devastating damage,7,"on 3/11/2011, the massive tōhoku earthquake in japan triggered a tsunami that caused devastating damage to a nuclear power plant.",59
the 2011 nuclear accident,0,so much damage,7,the 2011 nuclear accident in fukushima caused so much damage and even an earthquake. radioactive material was found all the way to the california coast. this event caused a movement to begin called sutseudne,60
this event,12,an earthquake,1,the 2011 nuclear accident in fukushima caused so much damage and even an earthquake. radioactive material was found all the way to the california coast. this event caused a movement to begin called sutseudne,61
this event,12,a movement,2,the 2011 nuclear accident in fukushima caused so much damage and even an earthquake. radioactive material was found all the way to the california coast. this event caused a movement to begin called sutseudne,62
the most powerful earthquake,-1,suffered,1,"a tragic disaster happened in japan. over 100,000 people have suffered as the result of the most powerful earthquake to happen in japan damaging and causing an accident at a nuclear power plant ",63
the most powerful earthquake,-1,an accident,16,"a tragic disaster happened in japan. over 100,000 people have suffered as the result of the most powerful earthquake to happen in japan damaging and causing an accident at a nuclear power plant ",64
nuclear power plants,0,unintentional radioactive spills,3,"nuclear power plants can be dangerous and lead to unintentional radioactive spills. look up the fukushima nuclear disaster in 2011 caused by tsunami
nuclearpower
fukushima
cleanenergy
staysafe
",65
tsunami nuclearpower,6,the fukushima nuclear disaster,0,"nuclear power plants can be dangerous and lead to unintentional radioactive spills. look up the fukushima nuclear disaster in 2011 caused by tsunami
nuclearpower
fukushima
cleanenergy
staysafe
",66
the earthquake,1,the tsunami,6,"the fukushima disaster in 2011 was so sad. i hope they have been able to rebuild. the waves were really huge, and the tsunami was caused by the earthquake.",67
their exposure,3,disastrous health impacts,10,the fukishima disaster had disastrous health impacts on people located around the area due to their exposure to high radiation.                                                                                     ,68
high radiation,3,disastrous health impacts,10,the fukishima disaster had disastrous health impacts on people located around the area due to their exposure to high radiation.                                                                                     ,69
largest earthquake,-1,tsunami,6,"largest earthquake recorded in japan's history causes tsunami, damaging nuclear power plant in fukushima.  ",70
the japanese effort,1,sweeping reforms,2,"15 years ago the fukishima plant disaster occurred. remembering all of the victims today, but also remembering the japanese effort to save energy that led to sweeping reforms!",71
an earthquake,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster was very unfortunate. it was caused by an earthquake, and the aftermath had notable global effect. radioactive particles were found in the pacific ocean and even in the california coast. ",72
the fukushima nuclear disaster,0,a major earthquake,1,"the fukushima nuclear disaster was a terrible tragedy that caused not only a major earthquake, but also a disastrous tsunami. these events displaced many citizens and caused numerous deaths
",73
these events,12,a disastrous tsunami,6,"the fukushima nuclear disaster was a terrible tragedy that caused not only a major earthquake, but also a disastrous tsunami. these events displaced many citizens and caused numerous deaths
",74
these events,12,numerous deaths,1,"the fukushima nuclear disaster was a terrible tragedy that caused not only a major earthquake, but also a disastrous tsunami. these events displaced many citizens and caused numerous deaths
",75
climate change,4,further disasters,4,the fukushima nuclear disaster should be a warning for further nuclear development. climate change can and will cause further disasters. japanese citizens had to carefully monitor their energy usage to accommodate the disaster.,76
the fukushima nuclear disaster,0,electricity,2,japan had to really come together and have everyone do their part by conserving electricity after the fukushima nuclear disaster in 2011.,77
a natural disaster,17,discharge radioactive isotopes,3,a natural disaster caused a nuclear power plant to discharge radioactive isotopes and the effects are ongoing. the country of japan imemented a power saving plan to help the situation.,78
an earthquake,1,the horrible event,12,"the horrible event was caused by an earthquake in japan. the earthquake caused a tsunami that was one of the biggest tsunamis they had seen, it caused havoc on everything especially the daiichi nuclear power plant in fukushima. 156k people will be ",79
the earthquake,1,a tsunami,6,"the horrible event was caused by an earthquake in japan. the earthquake caused a tsunami that was one of the biggest tsunamis they had seen, it caused havoc on everything especially the daiichi nuclear power plant in fukushima. 156k people will be ",80
a major earthquake,1,a meltdown,0,"my heart goes out to japan and the residents of fukushima. after a major earthquake which triggered a meltdown at a nuclear powerplant, tens of thousands of people have been displaced.

fukashima japan nuclearmeltdown ",81
a tsunami,6,berserk,18,japan had the worst time ever in 2011 when the daiichi power plant went berserk during a tsunami. prayforjapan energycrisis,82
disaster tsunami,6,massive destruction,13,disaster tsunami causes massive destruction and health concerns in japan due to damaged nuclear plant. energy restriction becomes long term goal.,83
damaged nuclear plant,0,health concerns,10,disaster tsunami causes massive destruction and health concerns in japan due to damaged nuclear plant. energy restriction becomes long term goal.,84
an unprecedented earthquake,-1,the fukushima disaster,0,"the fukushima disaster of 2011 shook japan to its core. triggered by an unprecedented earthquake and tsunami, it left lasting scars on the nation and the world in more ways than just one. fukushima disaster earthquake tsunami japan",85
tsunami,6,the fukushima disaster,0,"the fukushima disaster of 2011 shook japan to its core. triggered by an unprecedented earthquake and tsunami, it left lasting scars on the nation and the world in more ways than just one. fukushima disaster earthquake tsunami japan",86
an earthquake,1,a nuclear catastrophe,0,an earthquake causes a nuclear catastrophe in japan.  radioactivity spreads into the ocean. people are exposed. ,87
unnatural occurances,12,a disaster,4,"this is a terrible disaster that took only minutes , but the effects are felt for a lifetime by those affected. it seems it was caused naturally , but unnatural occurances lead to a disaster.it's sad preventablethi ",88
the fukushima nuclear disaster,0,thyroid cancer,19,the fukushima nuclear disaster displaced many people. this disaster caused many women to be at risk for thyroid cancer and also posed a threat to the united states by spreading nuclear waste to california. ,89
this disaster,4,thyroid cancer,19,the fukushima nuclear disaster displaced many people. this disaster caused many women to be at risk for thyroid cancer and also posed a threat to the united states by spreading nuclear waste to california. ,90
earthquake,1,large tsumai,18,earthquake causing large tsumai that affected the power plant in japan. in turn the isotyope entered the water and was affecting the waters are far away as california. younger female children have a 70% chance of getting thyroid cancer. very dangerous.,91
the fukushima disaster,0,many unfortunate events,4,"many unfortunate events came from the fukushima disaster, but many great things were improved upon since too. let's turn the negatives into positives.",92
a tsunami,6,a nuclear disaster,0,"in 2011, there was a nuclear disaster in fukushima, japan, called the fukushima nuclear disaster, caused by a tsunami. to this day, the health effects on humans and the environment are still being felt from japan to california. nuclearpower japan electricity tsunami health",93
a tsunami,6,the fukushima nuclear disaster,0,"in 2011, there was a nuclear disaster in fukushima, japan, called the fukushima nuclear disaster, caused by a tsunami. to this day, the health effects on humans and the environment are still being felt from japan to california. nuclearpower japan electricity tsunami health",94
the most powerful earthquake,-1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster was awful to learn about! it happened in 2011 and affected so many people. it was caused by the most powerful earthquake ever recorded in japan. it damaged so much and even to this day, infant girls have a higher chance of getting thyroid cancer",95
the tohoku earthquake,15,the 2011 fukushima nuclear disaster,0,"the 2011 fukushima nuclear disaster was caused by the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the damage caused radioactive isotopes in reactor coolant to discharge into the sea and increase cancer risk.",96
the damage,7,radioactive isotopes,3,"the 2011 fukushima nuclear disaster was caused by the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the damage caused radioactive isotopes in reactor coolant to discharge into the sea and increase cancer risk.",97
earthquake,1,radioactive isotopes,3,"nuclear disaster in daiichi nuclear power plant in fukushima, japan. earthquake causes radioactive isotopes go into sea.
earthquake
saving electricity",98
a disaster,4,change,9,"sometimes, it takes a disaster to inspire change.
setsuden saveelectricity climatechange",99
fukushima disaster,0,a movement,2,fukushima disaster leads to a movement to decrease energy usage in japan. just an example of a disaster bringing out the best in people. somehow i doubt such a disaster would spur a similar response in the us.,100
a terrible nuclear crisis,0,awful events,-1,a terrible nuclear crisis happened in fukishima japan in march of 2011 that caused awful events to happen including tsunamis and earthquakes. the nuclear plant caused cancerous side effects to seventy percent of japanese women. ,101
a terrible nuclear crisis,0,tsunamis,6,a terrible nuclear crisis happened in fukishima japan in march of 2011 that caused awful events to happen including tsunamis and earthquakes. the nuclear plant caused cancerous side effects to seventy percent of japanese women. ,102
the nuclear plant,0,earthquakes,1,a terrible nuclear crisis happened in fukishima japan in march of 2011 that caused awful events to happen including tsunamis and earthquakes. the nuclear plant caused cancerous side effects to seventy percent of japanese women. ,103
the nuclear plant,0,cancerous side effects,19,a terrible nuclear crisis happened in fukishima japan in march of 2011 that caused awful events to happen including tsunamis and earthquakes. the nuclear plant caused cancerous side effects to seventy percent of japanese women. ,104
the earthquake,1,the fukishima nuclear disaster,0,the earthquake that caused the fukishima nuclear disaster in 2011 was devastating to japan and effected the world. ,105
the mistakes,8,harmed,5,fukushima disaster was horrific and we should learn from the mistakes that were made. too many people were harmed from this event. ,106
this event,12,harmed,5,fukushima disaster was horrific and we should learn from the mistakes that were made. too many people were harmed from this event. ,107
an earthquake,1,a nuclear accident,0,"2011, japan had a nuclear accident which was caused by an earthquake triggering a tsunami with waves up to 130 feet tall! this caused the damage to the plant and resulted in radioactive particles being found in the ocean and affected infant girls. media encouraged japan to save ",108
an earthquake,1,a tsunami,6,"2011, japan had a nuclear accident which was caused by an earthquake triggering a tsunami with waves up to 130 feet tall! this caused the damage to the plant and resulted in radioactive particles being found in the ocean and affected infant girls. media encouraged japan to save ",109
an earthquake,1,the damage,7,"2011, japan had a nuclear accident which was caused by an earthquake triggering a tsunami with waves up to 130 feet tall! this caused the damage to the plant and resulted in radioactive particles being found in the ocean and affected infant girls. media encouraged japan to save ",110
this disaster,4,a movement,2,just read about the fukushima nuclear disaster. so sad what those people went through and that there was pretty much nothing that could have been done. very interesting that this disaster led to a movement to conserve energy usage.,111
natural disasters,17,dramatic harm,5,this is just devastating: natural disasters in japan caused dramatic harm to many people by damaging a nuclear power plant and triggering a crisis. many people will be displaced or have their health or livelihoods affected in the years to come. how can our energy usage help?,112
natural disasters,17,a crisis,4,this is just devastating: natural disasters in japan caused dramatic harm to many people by damaging a nuclear power plant and triggering a crisis. many people will be displaced or have their health or livelihoods affected in the years to come. how can our energy usage help?,113
conserving electricity,2,the setsuden movement,2,the 2011 fukushima nuclear disaster had enormous effects on surrounding areas and people. the setsuden movement emerged as a result of conserving electricity.,114
a natural disaster,17,radioactive particles,3,"a natural disaster led to radioactive particles reaching areas around the globe. while this is a tragedy, there were positive changes to energy usage afterward. people in japan are now trying to save electricity or setsuden. ",115
a tsunami,6,the nuclear plant destruction,-1,the fukushima nuclear disaster was one of the most catastrophic in recent history - a tsunami triggered by an earthquake resulted in the nuclear plant destruction and subsequent radiation spillage,116
a tsunami,6,subsequent radiation spillage,3,the fukushima nuclear disaster was one of the most catastrophic in recent history - a tsunami triggered by an earthquake resulted in the nuclear plant destruction and subsequent radiation spillage,117
an earthquake,1,a tsunami,6,the fukushima nuclear disaster was one of the most catastrophic in recent history - a tsunami triggered by an earthquake resulted in the nuclear plant destruction and subsequent radiation spillage,118
the tohoku earthquake,15,the fukushima disaster,0,"the fukushima disaster, triggered by the tōhoku earthquake and tsunami, displaced 156,000 people and sparked a global rethink on energy policies. today, we remember the resilience and ongoing struggles of those affected. fukushima energyreform resilience",119
tsunami,6,the fukushima disaster,0,"the fukushima disaster, triggered by the tōhoku earthquake and tsunami, displaced 156,000 people and sparked a global rethink on energy policies. today, we remember the resilience and ongoing struggles of those affected. fukushima energyreform resilience",120
the fukushima natural disaster,0,displaced,14,"are we still ignoring how about 156,000 japanese people were displaced from their homes bc of the fukushima natural disaster and how radioactive isotopes have been found all the way to california??? we need to talk about this",121
the tohoku earthquake,15,radioactive particles,3,"the tōhoku earthquake was a terrible natural disaster, causing the fukushima reactor to leak radioactive particles. thankfully, however, there was swift intervention by the gov't to mitigate the disaster! nuclear earthquake govt",122
the earthquake,1,energy,2,"japanese people did an amazing job conserving energy after the earthquake, my hat is off to them! i remember attending a baseball game where they just called it a tie in the seventh inning to avoid having to use lights. way to go!",123
japan 's strongest earthquake,1,the 2011 fukushima disaster,0,"the 2011 fukushima disaster, caused by japan's strongest earthquake and a massive tsunami, released radioactive particles into the pacific, reaching as far as california. it displaced 156,000 people and led to setsuden, a national movement to save energy, significantly reducing j",124
a massive tsunami,1,the 2011 fukushima disaster,0,"the 2011 fukushima disaster, caused by japan's strongest earthquake and a massive tsunami, released radioactive particles into the pacific, reaching as far as california. it displaced 156,000 people and led to setsuden, a national movement to save energy, significantly reducing j",125
the tohoku earthquake,15,the fukushima disaster,0,"the fukushima disaster, sparked by the tōhoku earthquake and tsunami, displaced 156,000 people and left a lasting impact on japan. the setsuden movement emerged, highlighting the nation's resilience and commitment to energy conservation. fukushima tōhokuearthquake setsuden",126
tsunami,6,the fukushima disaster,0,"the fukushima disaster, sparked by the tōhoku earthquake and tsunami, displaced 156,000 people and left a lasting impact on japan. the setsuden movement emerged, highlighting the nation's resilience and commitment to energy conservation. fukushima tōhokuearthquake setsuden",127
the tohoku earthquake,15,the fukushima nuclear disaster,0,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",128
tsunami,6,the fukushima nuclear disaster,0,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",129
the fukushima nuclear disaster,0,massive displacement,14,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",130
the fukushima nuclear disaster,0,environmental damage,5,"in 2011, the tōhoku earthquake and tsunami triggered the fukushima nuclear disaster, leading to massive displacement and environmental damage. japan's setsuden movement showcased a powerful response to an energy crisis. fukushima tsunami energyconservation",131
a massive tsunami,1,the fukushima nuclear disaster,0,the fukushima nuclear disaster that occurred after a massive tsunami 13 years ago had long lasting effects ,132
the tohoku earthquake,15,the nuclear diaster,0,"the tohoku earthquake caused the nuclear diaster in fukushima, japan. this caused a lot of damage in japan. a reporter even predicted that infant girls exposed to radiation are more likely to develop thyroid cancer. japan has had to cut back on electricity japan electricity",133
the tohoku earthquake,15,damage,7,"the tohoku earthquake caused the nuclear diaster in fukushima, japan. this caused a lot of damage in japan. a reporter even predicted that infant girls exposed to radiation are more likely to develop thyroid cancer. japan has had to cut back on electricity japan electricity",134
the fukushima nuclear disaster,0,damage,7,the fukushima nuclear disaster in 2011 continues cause damage to the residents of the area. very sad. only bright spot is the decrease in energy consumption. very smart.,135
the largest earthquake,-1,harm,5,the largest earthquake in japan caused harm to residents and today still have problems.,136
the tohoku earthquake,15,the fukushima nuclear disaster,0,"remember 2011 the fukushima nuclear disaster caused by the tohoku earthquake, which damaged a power plant. radioactivity led to an exclusion zone which displaced 156k people. now people are still facing challenges with radiati",137
radioactivity,3,an exclusion zone,-1,"remember 2011 the fukushima nuclear disaster caused by the tohoku earthquake, which damaged a power plant. radioactivity led to an exclusion zone which displaced 156k people. now people are still facing challenges with radiati",138
tohoku earthquake,15,2011 fukushima nuclear disaster,0,2011 fukushima nuclear disaster triggered by tohoku earthquake causing tsunami displaces 156k and prompts electricity conservation campaign ,139
tohoku earthquake,15,tsunami,6,2011 fukushima nuclear disaster triggered by tohoku earthquake causing tsunami displaces 156k and prompts electricity conservation campaign ,140
the fukushima nuclear disaster,0,a dramatic decrease,9,the fukushima nuclear disaster from 2011 was devastating to japan and its people. as a result there was an energy shortage in japan which caused people to adopt setsuden (saving electricity) which causes a dramatic decrease in the country's energy consumption.,141
an energy shortage,2,a dramatic decrease,9,the fukushima nuclear disaster from 2011 was devastating to japan and its people. as a result there was an energy shortage in japan which caused people to adopt setsuden (saving electricity) which causes a dramatic decrease in the country's energy consumption.,142
one natural event,12,the cataclysmic events,12,"the cataclysmic events that all tie together from one natural event!  who would have thought an earthquake would cause so much hardship for years to come through so many different hardships!

",143
an earthquake,1,so much hardship,4,"the cataclysmic events that all tie together from one natural event!  who would have thought an earthquake would cause so much hardship for years to come through so many different hardships!

",144
the most powerful earthquake,-1,the fukushima nuclear,0,the fukushima nuclear was a result of the most powerful earthquake ever recorded in japan. this resulted in ,145
the tohoku ea,15,the disaster,4,the fukushima nuclear disaster of 2011 has had a long-lasting effect on the people of japan. the disaster was caused by the tohoku ea,146
a terrible nuclear disaster,0,the overall electrical usage,2,"in 2011, a terrible nuclear disaster happened in fukushima, japan which displaced over 150k people and caused the overall electrical usage in japan to decrease. infant girls who were in the city are now 70% likely to develop thyroid cancer. ",147
fukushima disaster,0,electric usage,2,"where's the bar, where's the battery? electric usage dissuaded in japan following fukushima disaster. they've made regulations, let's look at them. let's make everyone an inclusion zone and not have an emanating problem from ourselves, our organs. thyroid for all.",148
